S1 split,S2 split,s1,s2,kondisi
0.27,0.55,0.522,0.789,0
0.24,0.5,1.334,1.57,0
0.25,0.46,2.069,2.324,0
0.31,0.5,2.785,3.092,0
0.25,0.5,3.593,3.846,0
0.26,0.49,4.345,4.603,0
0.26,0.47,5.093,5.357,0
0.27,0.45,5.827,6.093,0
0.26,0.45,6.538,6.799,0
0.26,0.44,7.245,7.505,0
0.26,0,7.946,8.208,0
0.22,0.37,0.104,0.326,0
0.23,0.36,0.695,0.921,0
0.23,0.39,1.285,1.515,0
0.24,0.42,1.909,2.146,0
0.23,0.44,2.565,2.797,0
0.23,0.41,3.242,3.476,0
0.23,0.4,3.888,4.122,0
0.24,0.4,4.522,4.759,0
0.24,0.41,5.161,5.398,0
0.23,0.4,5.806,6.039,0
0.23,0.37,6.434,6.663,0
0.23,0.37,7.031,7.265,0
0.23,0,7.639,7.87,0
0.29,0.55,0.737,0.185,0
0.3,0.54,1.562,1.027,0
0.29,0.52,2.374,1.859,0
0.29,0.56,3.224,2.666,0
0.29,0.53,4.044,3.512,0
0.28,0.56,4.887,4.331,0
0.27,0.53,5.705,5.171,0
0.34,0.5,6.475,5.978,0
0.29,0.53,7.347,6.819,0
0,0.47,8.106,7.636,0
0.21,0.39,0.311,0.518,0
0.22,0.41,0.905,1.125,0
0.25,0.44,1.531,1.782,0
0.26,0.47,2.217,2.478,0
0.27,0.45,2.953,3.219,0
0.26,0.41,3.67,3.931,0
0.26,0.39,4.343,4.604,0
0.26,0.37,4.991,5.251,0
0.26,0.38,5.625,5.884,0
0.25,0.37,6.268,6.514,0
0.26,0.38,6.887,7.151,0
0.26,0.38,7.526,7.782,0
0.28,0,8.166,8.45,0
0.29,0.52,0.16,0.454,0
0.3,0.58,0.976,1.272,0
0.29,0.58,1.849,2.135,0
0.29,0.55,2.717,3.003,0
0.3,0.54,3.554,3.853,0
0.3,0.55,4.394,4.691,0
0.29,0.54,5.241,5.534,0
0.29,0.55,6.073,6.359,0
0.3,0.56,6.914,7.211,0
0.3,0,7.77,8.069,0
0.27,0.49,0.294,0.568,0
0.25,0.55,1.063,1.313,0
0.29,0.57,1.864,2.156,0
0.27,0.62,2.731,2.997,0
0.23,0.55,3.621,3.855,0
0.29,0.58,4.407,4.7,0
0.28,0.56,5.275,5.557,0
0.29,0.56,6.118,6.405,0
0.25,0.5,6.961,7.216,0
0.27,0.49,7.72,7.994,0
0.28,0,8.48,8.76,0
0.23,0.71,1.357,0.643,1
0.25,0.56,2.152,1.589,1
0.28,0.56,2.965,2.4,1
0.21,0.64,5.28,3.245,1
0.19,0.74,8.048,3.889,1
0.0,0.65,0.0,4.626,1
0.0,0.6,0.0,5.494,1
0.0,0.7,0.0,6.093,1
0.0,0.7,0.0,6.79,1
0.0,0.56,0.0,7.489,1
0.0,0.0,0.0,8.239,1
0,0.76,0,0.551,1
0,0.74,0,1.315,1
0,0.73,0,2.054,1
0,0.76,0,2.785,1
0,0.76,0,3.542,1
0,0.76,0,4.305,1
0.17,0.55,0.738,0.185,1
0.17,0.54,0.91,1.08,1
0.23,0.6,1.617,1.844,1
0.24,0.75,2.444,2.684,1
0.0,0.78,7.07,3.432,1
0.0,0.8,0.0,5.02,1
0.0,0.63,0.0,5.82,1
0.0,0.62,0.0,6.454,1
0.18,0.6,1.503,0.403,1
0.18,0.5,2.176,1.0,1
0.18,0.5,2.89,1.681,1
0.19,0.54,3.574,2.354,1
0.19,0.51,4.247,3.067,1
0.16,0.48,4.889,3.768,1
0.17,0.45,5.048,4.441,1
0.0,0.51,8.155,5.219,1
0.0,0.6,0.0,5.727,1
0.0,0.57,0.0,6.328,1
0.0,0.61,0.0,6.9,1
0.0,0.65,0.0,7.509,1
0.17,0.52,0.161,0.478,1
0.15,0.68,0.331,1.263,1
0.26,0.69,1.002,2.18,1
0.23,0.77,1.947,2.871,1
0.19,0.67,4.318,3.645,1
0.19,0.59,5.099,4.505,1
0.22,0.65,5.932,5.285,1
0.18,0.55,6.702,6.153,1
0.23,0.63,7.514,6.881,1
0.0,0.0,0.0,7.745,1
0.23,0.43,0.157,0.387,1
0.22,0.41,0.814,1.032,1
0.21,0.46,1.443,1.65,1
0.23,0.42,2.11,2.341,1
0.21,0.57,2.765,2.978,1
0.24,0.47,3.544,3.78,1
0.23,0.46,4.248,4.482,1
0.21,0.46,4.942,5.155,1
0.22,0.47,5.619,5.841,1
0.23,0.4,6.316,6.544,1
0.23,0.49,6.942,7.174,1
0.23,0.44,7.664,7.889,1
0.23,0.0,8.326,8.553,1
0.28,0.52,0.662,0.138,1
0.3,0.62,1.558,0.941,1
0.33,0.61,3.401,1.86,1
0.34,0.36,4.239,2.471,1
0.3,0.57,5.067,2.828,1
0.33,0.51,6.72,3.727,1
0.23,0.49,7.606,4.576,1
0.34,0.5,8.416,5.369,1
0.2,0.36,9.348,5.867,1
0.0,0.5,0.0,6.224,1
0.0,0.56,0.0,7.047,1
0.0,0.58,0.0,7.836,1
0.0,0.59,0.0,8.759,1
0.0,0.0,0.0,9.546,1
